SUM_YY,SUM_MT,SIDO_NM,SCALE_DIV_NM,LOTOUT_PC
2016,2,경기,전체,3219
2016,2,경기,전용면적 60㎡이하,3294
2016,2,경기,전용면적 60㎡초과 85㎡이하,3268
2016,2,경기,전용면적 85㎡초과 102㎡이하,3381
2016,2,경기,전용면적 102㎡초과,3669
2015,10,경기,전체,3138
2015,10,경기,전용면적 60㎡이하,3126
2015,10,경기,전용면적 60㎡초과 85㎡이하,3239
2015,10,경기,전용면적 85㎡초과 102㎡이하,3496
2015,10,경기,전용면적 102㎡초과,3680
2015,12,경기,전체,3198
2015,12,경기,전용면적 60㎡이하,3293
2015,12,경기,전용면적 60㎡초과 85㎡이하,3314
2015,12,경기,전용면적 85㎡초과 102㎡이하,3449
2015,12,경기,전용면적 102㎡초과,3850
2016,3,경기,전체,3215
2016,3,경기,전용면적 60㎡이하,3441
2016,3,경기,전용면적 60㎡초과 85㎡이하,3259
2016,3,경기,전용면적 85㎡초과 102㎡이하,3363
2016,3,경기,전용면적 102㎡초과,3680
2016,4,경기,전체,3199
2016,4,경기,전용면적 60㎡이하,3400
2016,4,경기,전용면적 60㎡초과 85㎡이하,3243
2016,4,경기,전용면적 85㎡초과 102㎡이하,3395
2016,4,경기,전용면적 102㎡초과,3611
2016,5,경기,전체,3443
2016,5,경기,전용면적 60㎡이하,3720
2016,5,경기,전용면적 60㎡초과 85㎡이하,3443
2016,5,경기,전용면적 85㎡초과 102㎡이하,3370
2016,5,경기,전용면적 102㎡초과,3956
2016,1,경기,전체,3198
2016,1,경기,전용면적 60㎡이하,3293
2016,1,경기,전용면적 60㎡초과 85㎡이하,3313
2016,1,경기,전용면적 85㎡초과 102㎡이하,3450
2016,1,경기,전용면적 102㎡초과,3850
2017,3,경기,전체,3632
2017,3,경기,전용면적 60㎡이하,3773
2017,3,경기,전용면적 60㎡초과 85㎡이하,3585
2017,3,경기,전용면적 85㎡초과 102㎡이하,3527
2017,3,경기,전용면적 102㎡초과,4321
2017,4,경기,전체,3604
2017,4,경기,전용면적 60㎡이하,3812
2017,4,경기,전용면적 60㎡초과 85㎡이하,3552
2017,4,경기,전용면적 85㎡초과 102㎡이하,3608
2017,4,경기,전용면적 102㎡초과,4273
2016,10,경기,전체,3431
2016,10,경기,전용면적 60㎡이하,3508
2016,10,경기,전용면적 60㎡초과 85㎡이하,3389
2016,10,경기,전용면적 85㎡초과 102㎡이하,3305
2016,10,경기,전용면적 102㎡초과,4219
2016,11,경기,전체,3546
2016,11,경기,전용면적 60㎡이하,3650
2016,11,경기,전용면적 60㎡초과 85㎡이하,3497
2016,11,경기,전용면적 85㎡초과 102㎡이하,3439
2016,11,경기,전용면적 102㎡초과,4230
2016,12,경기,전체,3555
2016,12,경기,전용면적 60㎡이하,3602
2016,12,경기,전용면적 60㎡초과 85㎡이하,3508
2016,12,경기,전용면적 85㎡초과 102㎡이하,3360
2016,12,경기,전용면적 102㎡초과,4229
2015,11,경기,전체,3098
2015,11,경기,전용면적 60㎡이하,3079
2015,11,경기,전용면적 60㎡초과 85㎡이하,3202
2015,11,경기,전용면적 85㎡초과 102㎡이하,3391
2015,11,경기,전용면적 102㎡초과,3724
2016,9,경기,전체,3360
2016,9,경기,전용면적 60㎡이하,3444
2016,9,경기,전용면적 60㎡초과 85㎡이하,3316
2016,9,경기,전용면적 85㎡초과 102㎡이하,3280
2016,9,경기,전용면적 102㎡초과,4079
2017,1,경기,전체,3554
2017,1,경기,전용면적 60㎡이하,3609
2017,1,경기,전용면적 60㎡초과 85㎡이하,3508
2017,1,경기,전용면적 85㎡초과 102㎡이하,3360
2017,1,경기,전용면적 102㎡초과,4229
2017,2,경기,전체,3607
2017,2,경기,전용면적 60㎡이하,3652
2017,2,경기,전용면적 60㎡초과 85㎡이하,3562
2017,2,경기,전용면적 85㎡초과 102㎡이하,3454
2017,2,경기,전용면적 102㎡초과,4296
2017,5,경기,전체,3474
2017,5,경기,전용면적 60㎡이하,3628
2017,5,경기,전용면적 60㎡초과 85㎡이하,3462
2017,5,경기,전용면적 85㎡초과 102㎡이하,3591
2017,5,경기,전용면적 102㎡초과,4045
2017,6,경기,전체,3489
2017,6,경기,전용면적 60㎡이하,3671
2017,6,경기,전용면적 60㎡초과 85㎡이하,3511
2017,6,경기,전용면적 85㎡초과 102㎡이하,3656
2017,6,경기,전용면적 102㎡초과,4052
2017,7,경기,전체,3629
2017,7,경기,전용면적 60㎡이하,3707
2017,7,경기,전용면적 60㎡초과 85㎡이하,3624
2017,7,경기,전용면적 85㎡초과 102㎡이하,3605
2017,7,경기,전용면적 102㎡초과,4065
2017,9,경기,전체,3628
2017,9,경기,전용면적 60㎡이하,3902
2017,9,경기,전용면적 60㎡초과 85㎡이하,3601
2017,9,경기,전용면적 85㎡초과 102㎡이하,3696
2017,9,경기,전용면적 102㎡초과,4045
2017,8,경기,전체,3641
2017,8,경기,전용면적 60㎡이하,3858
2017,8,경기,전용면적 60㎡초과 85㎡이하,3623
2017,8,경기,전용면적 85㎡초과 102㎡이하,3694
2017,8,경기,전용면적 102㎡초과,4037
2016,6,경기,전체,3542
2016,6,경기,전용면적 60㎡이하,3781
2016,6,경기,전용면적 60㎡초과 85㎡이하,3539
2016,6,경기,전용면적 85㎡초과 102㎡이하,3334
2016,6,경기,전용면적 102㎡초과,4073
2016,7,경기,전체,3531
2016,7,경기,전용면적 60㎡이하,3785
2016,7,경기,전용면적 60㎡초과 85㎡이하,3531
2016,7,경기,전용면적 85㎡초과 102㎡이하,3344
2016,7,경기,전용면적 102㎡초과,4124
2016,8,경기,전체,3561
2016,8,경기,전용면적 60㎡이하,3788
2016,8,경기,전용면적 60㎡초과 85㎡이하,3552
2016,8,경기,전용면적 85㎡초과 102㎡이하,3303
2016,8,경기,전용면적 102㎡초과,4046
2017,10,경기,전체,3625
2017,10,경기,전용면적 60㎡이하,3829
2017,10,경기,전용면적 60㎡초과 85㎡이하,3574
2017,10,경기,전용면적 85㎡초과 102㎡이하,3769
2017,10,경기,전용면적 102㎡초과,4009
